call_id,started_at,language,intent,claim_id,agent_version,asr_confidence_avg,duration_sec,avg_response_ms,outcome,transfer_reason
C-20260817-00001,2026-08-17 12:28:57,en,claim_status,CL7859221,v14,0.913,81,491,contained,
C-20260817-00002,2026-08-17 14:39:35,en,renewal_premium,,v14,0.977,162,238,contained,
C-20260817-00003,2026-08-17 09:42:58,hi,policy_details,,v14,0.876,137,545,contained,
C-20260817-00004,2026-08-17 15:34:42,en,renewal_premium,,v14,0.99,25,473,contained,
C-20260817-00005,2026-08-17 18:51:33,en,renewal_premium,,v14,0.912,89,489,contained,
C-20260817-00006,2026-08-17 13:44:50,en,claim_status,CL8553422,v14,0.99,111,380,contained,
C-20260817-00007,2026-08-17 16:21:16,hi,renewal_premium,,v14,0.85,113,380,transferred_human,agent_could_not_resolve
C-20260817-00008,2026-08-17 16:33:36,hi,claim_status,CL8793790,v14,0.822,136,434,contained,
C-20260817-00009,2026-08-17 09:11:34,hi,renewal_premium,,v14,0.926,190,420,abandoned,
C-20260817-00010,2026-08-17 18:54:06,en,claim_status,CL8949418,v14,0.906,137,308,contained,
C-20260817-00011,2026-08-17 19:03:53,hi,claim_status,CL7619585,v14,0.812,25,353,contained,
C-20260817-00012,2026-08-17 16:11:28,hi,network_hospital,,v14,0.858,138,474,transferred_human,agent_could_not_resolve
C-20260817-00013,2026-08-17 12:24:33,en,renewal_premium,,v14,0.93,151,368,transferred_human,caller_requested_human
C-20260817-00014,2026-08-17 16:56:05,hi,policy_details,,v14,0.826,145,409,transferred_human,out_of_scope
C-20260817-00015,2026-08-17 13:56:29,hi,claim_status,CL8359990,v14,0.785,114,332,contained,
C-20260817-00016,2026-08-17 19:10:38,en,claim_status,CL7017664,v14,0.921,186,419,transferred_human,agent_could_not_resolve
C-20260817-00017,2026-08-17 13:09:16,hi,policy_details,,v14,0.919,70,455,contained,
C-20260817-00018,2026-08-17 09:33:10,en,renewal_premium,,v14,0.887,146,289,contained,
C-20260817-00019,2026-08-17 13:16:01,en,claim_status,CL8614822,v14,0.93,99,348,contained,
C-20260817-00020,2026-08-17 11:49:02,en,claim_status,CL7500701,v14,0.99,103,323,contained,
C-20260817-00021,2026-08-17 13:12:55,en,claim_status,CL8023083,v14,0.769,70,326,contained,
C-20260817-00022,2026-08-17 17:53:36,en,renewal_premium,,v14,0.912,135,429,contained,
C-20260817-00023,2026-08-17 19:00:27,en,policy_details,,v14,0.928,150,410,transferred_human,escalation_policy
C-20260817-00024,2026-08-17 13:53:00,en,claim_status,CL8951487,v14,0.869,213,533,contained,
C-20260817-00025,2026-08-17 19:25:34,hi,claim_status,CL8603950,v14,0.858,191,252,contained,
C-20260817-00026,2026-08-17 12:25:06,en,claim_status,CL8236011,v14,0.884,53,578,contained,
C-20260817-00027,2026-08-17 18:45:34,en,claim_status,CL8357254,v14,0.982,164,531,transferred_human,out_of_scope
C-20260817-00028,2026-08-17 15:06:13,en,claim_status,CL7183736,v14,0.845,117,405,transferred_human,escalation_policy
C-20260817-00029,2026-08-17 11:13:40,hi,network_hospital,,v14,0.901,101,600,contained,
C-20260817-00030,2026-08-17 15:31:41,en,claim_status,CL7321408,v14,0.979,71,490,contained,
C-20260817-00031,2026-08-17 12:25:36,en,claim_status,CL7472268,v14,0.905,111,429,contained,
C-20260817-00032,2026-08-17 19:04:07,en,network_hospital,,v14,0.911,154,379,contained,
C-20260817-00033,2026-08-17 11:39:18,en,policy_details,,v14,0.926,114,485,contained,
C-20260817-00034,2026-08-17 12:15:21,en,renewal_premium,,v14,0.961,77,415,contained,
C-20260817-00035,2026-08-17 13:36:02,en,policy_details,,v14,0.99,172,417,transferred_human,out_of_scope
C-20260817-00036,2026-08-17 10:06:55,en,network_hospital,,v14,0.905,154,409,contained,
C-20260817-00037,2026-08-17 13:59:08,en,renewal_premium,,v14,0.911,89,331,contained,
C-20260817-00038,2026-08-17 16:12:39,en,claim_status,CL8386395,v14,0.981,62,482,contained,
C-20260817-00039,2026-08-17 19:45:57,en,claim_status,CL8227089,v14,0.945,122,467,transferred_human,agent_could_not_resolve
C-20260817-00040,2026-08-17 14:20:25,en,claim_status,CL7485419,v14,0.936,160,1507,transferred_human,escalation_policy
C-20260817-00041,2026-08-17 09:41:17,en,network_hospital,,v14,0.986,93,559,contained,
